date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:31	150284/150284	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/js/Chart.min.js?ver=2.6.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/js/Chart.mind315.js	(from https://globalcollege.ac.ke/)
16:22:31	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Jun%202026%2021:45:24%20GMT	https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
16:22:32	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Jun%202026%2021:45:24%20GMT	https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
16:22:33	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Jun%202026%2021:45:24%20GMT	https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
16:22:33	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2022%20Jun%202026%2021:45:24%20GMT	https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
16:22:34	165548/165548	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2022%20Jun%202026%2021:45:24%20GMT	https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
16:22:34	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Jun%202026%2021:45:24%20GMT	https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
16:22:35	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.eot	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/themify-icons.min.css?ver=1.0.0)
16:22:35	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themifyd41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/themify-icons.min.css?ver=1.0.0)
16:22:35	78584/78584	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.ttf	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.ttf	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/themify-icons.min.css?ver=1.0.0)
